,bnf_code,name,vpid,form,form_indicator,form_size,form_units,unit_of_measure,numerator,numerator_unit_of_measure,denominator,denominator_unit_of_measure,ingredient_count,squ,bnf_name,adq_value,adq_denominator,dose_multiplier,quantity_denominator,adq_per_quantity
0,0101010J0AAAAAA,Boots Magnesium trisilicate mixture,14609911000001108,Oral suspension,Discrete,5.0,ml,spoonful,0.05,g,1.0,ml,3.0,ml,Mag Trisil_Mix,30.0,ml,1.0,ml,0.03333333333333333
1,0101010J0AAAAAA,Magnesium trisilicate oral suspension,14609911000001108,Oral suspension,Discrete,5.0,ml,spoonful,0.05,g,1.0,ml,3.0,ml,Mag Trisil_Mix,30.0,ml,1.0,ml,0.03333333333333333
2,0101010L0BBABAA,Asilone oral suspension,3391711000001101,Oral suspension,Discrete,5.0,ml,spoonful,0.014,g,1.0,ml,3.0,ml,Asilone_Susp S/F,30.0,,1.0,ml,0.03333333333333333
3,0101010L0BBABAA,Asilone oral suspension,3391711000001101,Oral suspension,Discrete,5.0,ml,spoonful,0.027,g,1.0,ml,3.0,ml,Asilone_Susp S/F,30.0,,1.0,ml,0.03333333333333333
4,0101010L0BBABAA,Asilone oral suspension,3391711000001101,Oral suspension,Discrete,5.0,ml,spoonful,0.084,g,1.0,ml,3.0,ml,Asilone_Susp S/F,30.0,,1.0,ml,0.03333333333333333
5,0101010L0BBAEAK,Asilone Antacid liquid,3391711000001101,Oral suspension,Discrete,5.0,ml,spoonful,0.014,g,1.0,ml,3.0,ml,Asilone Antacid_Liq S/F,30.0,,1.0,ml,0.03333333333333333
6,0101010L0BBAEAK,Asilone Antacid liquid,3391711000001101,Oral suspension,Discrete,5.0,ml,spoonful,0.027,g,1.0,ml,3.0,ml,Asilone Antacid_Liq S/F,30.0,,1.0,ml,0.03333333333333333
7,0101010L0BBAEAK,Asilone Antacid liquid,3391711000001101,Oral suspension,Discrete,5.0,ml,spoonful,0.084,g,1.0,ml,3.0,ml,Asilone Antacid_Liq S/F,30.0,,1.0,ml,0.03333333333333333
8,0101010L0BEAAAI,Maalox Plus oral suspension,3545911000001109,Oral suspension,Discrete,5.0,ml,spoonful,0.005,g,1.0,ml,3.0,ml,Maalox Plus_Susp S/F,30.0,,1.0,ml,0.03333333333333333
9,0101010L0BEAAAI,Maalox Plus oral suspension,3545911000001109,Oral suspension,Discrete,5.0,ml,spoonful,0.039,g,1.0,ml,3.0,ml,Maalox Plus_Susp S/F,30.0,,1.0,ml,0.03333333333333333
10,0101010L0BEAAAI,Maalox Plus oral suspension,3545911000001109,Oral suspension,Discrete,5.0,ml,spoonful,0.044,g,1.0,ml,3.0,ml,Maalox Plus_Susp S/F,30.0,,1.0,ml,0.03333333333333333
11,0101010Q0AAAGAG,Magnesium hydroxide 7.45-8.35% oral suspension BP,34309111000001101,Oral suspension,Discrete,5.0,ml,spoonful,0.079,g,1.0,ml,1.0,ml,Mag Hydrox_Oral Susp 7.45-8.35% BP,30.0,ml,1.0,ml,0.03333333333333333
12,0102000A0AAAAAA,Alverine 60mg capsules,317148009,Capsule,Discrete,1.0,capsule,capsule,0.06,g,,nan,1.0,unit,Alverine Cit_Cap 60mg,0.18,g,1.0,unit,0.3333333333333333
13,0102000A0AAABAB,Alverine 120mg capsules,317145007,Capsule,Discrete,1.0,capsule,capsule,0.12,g,,nan,1.0,unit,Alverine Cit_Cap 120mg,0.18,g,1.0,unit,0.6666666666666666
14,0102000A0BBAAAA,Spasmonal 60mg capsules,317148009,Capsule,Discrete,1.0,capsule,capsule,0.06,g,,nan,1.0,unit,Spasmonal_Cap 60mg,0.18,g,1.0,unit,0.3333333333333333
15,0102000A0BBABAB,Spasmonal Forte 120mg capsules,317145007,Capsule,Discrete,1.0,capsule,capsule,0.12,g,,nan,1.0,unit,Spasmonal Fte_Cap 120mg,0.18,g,1.0,unit,0.6666666666666666
16,0102000A0BDAAAA,Audmonal 60mg capsules,317148009,Capsule,Discrete,1.0,capsule,capsule,0.06,g,,nan,1.0,unit,Audmonal_Cap 60mg,0.18,g,1.0,unit,0.3333333333333333
17,0102000A0BDABAB,Audmonal Forte 120mg capsules,317145007,Capsule,Discrete,1.0,capsule,capsule,0.12,g,,nan,1.0,unit,Audmonal_Forte Cap 120mg,0.18,g,1.0,unit,0.6666666666666666
18,0102000ACAAAGAG,Atropine 600microgram tablets,317084000,Tablet,Discrete,1.0,tablet,tablet,0.0006,g,,nan,1.0,unit,Atrop Sulf_Tab 600mcg,0.0012,g,1.0,unit,0.5
19,0102000ACAAAPAP,Atropine 500micrograms/5ml oral suspension,8281811000001102,Oral suspension,Continuous,,,,0.0001,g,1.0,ml,1.0,ml,Atrop Sulf_Oral Susp 500mcg/5ml,0.0012,g,1.0,ml,0.08333333333333334
20,0102000ACAAAQAQ,Atropine 200micrograms/5ml oral solution,12079711000001104,Oral solution,Continuous,,,,4e-05,g,1.0,ml,1.0,ml,Atrop Sulf_Liq Spec 200mcg/5ml,0.0012,g,1.0,ml,0.03333333333333334
